t 1.25134 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=675us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 1.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 1.50093 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 1.50114 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 1.50245 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 1.50266 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 1.75005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 1.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 1.75131 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 1.75152 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 1.75239 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 1.7526 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.00005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.00067 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 2.00088 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.00203 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.00224 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.25005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.25075 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.25096 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.25237 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 2.25258 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.50005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.50081 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50102 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.50215 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 2.50236 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.75005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 2.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75059 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.7508 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75211 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 2.75232 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.00005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.00139 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.00155 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.00217 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.00238 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.00427 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 3.00448 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.25005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.25071 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.25077 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.25161 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.25182 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.25431 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 3.25452 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.50005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.50129 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.50135 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.50191 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 3.50212 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.50419 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.5044 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75055 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75065 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 3.75149 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.7517 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75411 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 3.75432 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.00005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00159 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.00163 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00353 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 4.00374 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.00505 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.00526 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25149 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25151 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.25377 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.25398 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25529 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 4.2555 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.50005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.50075 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.50096 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.50185 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 4.50206 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.75005 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
t 4.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.75085 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
r 4.75106 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:01) ns3::WifiMacTrailer ()
