t 1.25256 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=462us, RA=00:00:00:00:00:04) ns3::WifiMacTrailer ()
r 2.00047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 2.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 2.25047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 2.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.50027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 2.50047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 2.50228 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50248 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 2.75047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.75047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.00027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.00027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.00047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.25047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.50027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.50047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.50047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.75027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.75047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.75047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.75248 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.75268 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.00047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.25047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.50027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.50047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.50047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.75027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.75027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.75047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.75047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.00027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.00027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.00047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.25205 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.25225 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.50027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.50047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.50047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.75027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.75027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.75047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.75047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.75148 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.75168 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.00027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 6.00235 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.00255 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.25047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 6.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.50027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.50047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.50047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 6.50222 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.50242 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.75027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.75027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.75047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.75047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 7.00027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 7.00027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 7.00047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 7.00047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 7.25027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 7.25027 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 7.25047 DsssRate11Mbps/NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 7.25047 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 7.25226 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 7.25246 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 7.50027 /NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_CTS Duration/ID=509us, RA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
