t 1.25234 /NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=675us, RA=00:00:00:00:00:03, TA=00:00:00:00:00:04) ns3::WifiMacTrailer ()
t 2.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.50005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 2.50026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 2.50206 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50227 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.50227 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 2.75005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 2.75026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 2.75026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.00005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.00026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.00026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.25005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.25026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.25026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.50005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.50026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.50026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 3.75005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 3.75026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.75026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 3.75226 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.75247 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 3.75247 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.00005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.00026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.00026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.25005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.25026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.25026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.50005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.50026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.50026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 4.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 4.75005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 4.75026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 4.75026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.00005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.00026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.00026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.25005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.25026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.25026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.25183 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.25204 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.25204 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.50005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.50005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.50026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.50026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.75005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 5.75005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 5.75026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.75026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 5.75126 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.75147 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 5.75147 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.00005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.00005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.00026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
t 6.00213 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.00234 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.00234 DsssRate11Mbps/NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.25005 /NodeList/1/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
t 6.25005 /NodeList/2/DeviceList/0/$ns3::WifiNetDevice/Phy/State/Tx DsssRate11Mbps ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
r 6.25026 DsssRate11Mbps/NodeList/0/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:01, TA=00:00:00:00:00:02) ns3::WifiMacTrailer ()
r 6.25026 DsssRate11Mbps/NodeList/3/DeviceList/0/$ns3::WifiNetDevice/Phy/State/RxOk ns3::WifiMacHeader (CTL_RTS Duration/ID=722us, RA=00:00:00:00:00:04, TA=00:00:00:00:00:03) ns3::WifiMacTrailer ()
